dup_id,canonical_id,rule,score
CHEMBL195515,CHEMBL1091535,InChIKeyFull,1.0
CHEMBL1490,CHEMBL1092,InChIKeyFull,1.0
CHEMBL109655,CHEMBL109214,InChIKeyFull,1.0
CHEMBL373834,CHEMBL1092509,InChIKeyFull,1.0
CHEMBL111028,CHEMBL109327,InChIKeyFull,1.0
CHEMBL111257,CHEMBL109353,InChIKeyFull,1.0
CHEMBL33618,CHEMBL109382,InChIKeyFull,1.0
CHEMBL3758292,CHEMBL109390,InChIKeyFull,1.0
CHEMBL544318,CHEMBL109528,InChIKeyFull,1.0
CHEMBL545727,CHEMBL109548,InChIKeyFull,1.0
CHEMBL112708,CHEMBL109554,InChIKeyFull,1.0
CHEMBL440411,CHEMBL1095687,InChIKeyFull,1.0
CHEMBL322795,CHEMBL109579,InChIKeyFull,1.0
CHEMBL422251,CHEMBL109603,InChIKeyFull,1.0
CHEMBL4063810,CHEMBL1096380,InChIKeyFull,1.0
CHEMBL129841,CHEMBL1096400,InChIKeyFull,1.0
CHEMBL544091,CHEMBL109673,InChIKeyFull,1.0
CHEMBL1256754,CHEMBL109684,InChIKeyFull,1.0
CHEMBL1255778,CHEMBL1096979,InChIKeyFull,1.0
CHEMBL275835,CHEMBL109745,InChIKeyFull,1.0
CHEMBL2261346,CHEMBL109783,InChIKeyFull,1.0
CHEMBL228067,CHEMBL1098888,InChIKeyFull,1.0
CHEMBL1692,CHEMBL11,InChIKeyFull,1.0
CHEMBL4524111,CHEMBL110077,InChIKeyFull,1.0
CHEMBL110970,CHEMBL110750,InChIKeyFull,1.0
CHEMBL540822,CHEMBL110847,InChIKeyFull,1.0
CHEMBL543613,CHEMBL110948,InChIKeyFull,1.0
CHEMBL558598,CHEMBL111,InChIKeyFull,1.0
CHEMBL444347,CHEMBL111164,InChIKeyFull,1.0
CHEMBL545488,CHEMBL111189,InChIKeyFull,1.0
CHEMBL544319,CHEMBL111393,InChIKeyFull,1.0
CHEMBL422250,CHEMBL111450,InChIKeyFull,1.0
CHEMBL544089,CHEMBL111509,InChIKeyFull,1.0
CHEMBL81,CHEMBL1116,InChIKeyFull,1.0
CHEMBL1200976,CHEMBL1117,InChIKeyFull,1.0
CHEMBL67133,CHEMBL112210,InChIKeyFull,1.0
CHEMBL3216873,CHEMBL11252,InChIKeyFull,1.0
CHEMBL294809,CHEMBL112553,InChIKeyFull,1.0
CHEMBL324009,CHEMBL112598,InChIKeyFull,1.0
CHEMBL1627022,CHEMBL112624,InChIKeyFull,1.0
CHEMBL91283,CHEMBL112655,InChIKeyFull,1.0
