dup_id,canonical_id
CHEMBL450591,CHEMBL118111
CHEMBL471797,CHEMBL118111
CHEMBL498715,CHEMBL118111
CHEMBL119256,CHEMBL118860
CHEMBL1200494,CHEMBL862
CHEMBL1200606,CHEMBL558
CHEMBL1200904,CHEMBL972
CHEMBL1927030,CHEMBL1201201
CHEMBL1204264,CHEMBL305198
CHEMBL1927024,CHEMBL1230845
CHEMBL1255589,CHEMBL9485
CHEMBL24938,CHEMBL9485
CHEMBL1255663,CHEMBL679
CHEMBL1256958,CHEMBL679
CHEMBL3251356,CHEMBL129190
CHEMBL134519,CHEMBL6616
CHEMBL136560,CHEMBL61006
CHEMBL421929,CHEMBL137706
CHEMBL1378659,CHEMBL281232
CHEMBL140000,CHEMBL46942
CHEMBL142305,CHEMBL46942
CHEMBL143047,CHEMBL46942
CHEMBL1437,CHEMBL432
CHEMBL5087452,CHEMBL432
CHEMBL143849,CHEMBL57107
CHEMBL356837,CHEMBL151975
CHEMBL1520837,CHEMBL404849
CHEMBL195437,CHEMBL153062
CHEMBL1557,CHEMBL59
CHEMBL164268,CHEMBL159887
CHEMBL2079630,CHEMBL16046
CHEMBL85320,CHEMBL16046
CHEMBL273804,CHEMBL16121
CHEMBL277346,CHEMBL16121
CHEMBL559358,CHEMBL1639
CHEMBL164868,CHEMBL99
CHEMBL1672669,CHEMBL75124
CHEMBL427526,CHEMBL175
CHEMBL521,CHEMBL175
CHEMBL1762656,CHEMBL441343
CHEMBL1762657,CHEMBL21932
CHEMBL1762658,CHEMBL542
CHEMBL1778439,CHEMBL1778438
CHEMBL1788203,CHEMBL263501
CHEMBL2092878,CHEMBL263501
CHEMBL440018,CHEMBL180911
CHEMBL1812864,CHEMBL1812863
CHEMBL362695,CHEMBL182095
CHEMBL1822043,CHEMBL1822042
CHEMBL1823117,CHEMBL497318
CHEMBL454574,CHEMBL182319
CHEMBL467389,CHEMBL19332
CHEMBL19393,CHEMBL405
CHEMBL612,CHEMBL405
CHEMBL372979,CHEMBL204277
CHEMBL2088779,CHEMBL2086806
CHEMBL2086809,CHEMBL2086808
CHEMBL2086810,CHEMBL2086808
CHEMBL2096852,CHEMBL2096738
CHEMBL211471,CHEMBL54126
CHEMBL278020,CHEMBL54126
CHEMBL5171825,CHEMBL2141296
CHEMBL215645,CHEMBL636
CHEMBL2158072,CHEMBL2158071
CHEMBL2180821,CHEMBL2180818
CHEMBL462801,CHEMBL221137
CHEMBL462998,CHEMBL221137
CHEMBL228139,CHEMBL227851
CHEMBL228103,CHEMBL228049
CHEMBL4643138,CHEMBL2312168
CHEMBL2391470,CHEMBL2391461
CHEMBL2391472,CHEMBL2391461
CHEMBL2415105,CHEMBL2413160
CHEMBL2431006,CHEMBL2431003
CHEMBL251206,CHEMBL251010
CHEMBL406734,CHEMBL260080
CHEMBL264495,CHEMBL58945
CHEMBL294066,CHEMBL58945
CHEMBL60546,CHEMBL58945
CHEMBL62056,CHEMBL58945
CHEMBL62245,CHEMBL58945
CHEMBL336483,CHEMBL265112
CHEMBL284617,CHEMBL34998
CHEMBL286297,CHEMBL34073
CHEMBL286338,CHEMBL34768
CHEMBL295072,CHEMBL287587
CHEMBL289003,CHEMBL35348
CHEMBL289302,CHEMBL78855
CHEMBL289672,CHEMBL32949
CHEMBL418599,CHEMBL290348
CHEMBL538595,CHEMBL29292
CHEMBL301742,CHEMBL701
CHEMBL302213,CHEMBL701
CHEMBL3104171,CHEMBL3104170
CHEMBL3142508,CHEMBL3142506
CHEMBL3143261,CHEMBL357388
CHEMBL317634,CHEMBL8600
CHEMBL35747,CHEMBL32096
CHEMBL35746,CHEMBL32160
CHEMBL35907,CHEMBL32732
CHEMBL35695,CHEMBL32836
CHEMBL34319,CHEMBL32982
CHEMBL333335,CHEMBL332373
CHEMBL3350685,CHEMBL3350246
CHEMBL3355298,CHEMBL3355283
CHEMBL3359167,CHEMBL3359166
CHEMBL3359168,CHEMBL3359166
CHEMBL3359172,CHEMBL3359171
CHEMBL3359173,CHEMBL3359171
CHEMBL36525,CHEMBL34013
CHEMBL422639,CHEMBL342146
CHEMBL344888,CHEMBL342407
CHEMBL3425919,CHEMBL3425913
CHEMBL3425920,CHEMBL3425913
CHEMBL4750752,CHEMBL3425921
CHEMBL4761227,CHEMBL3425921
CHEMBL4798135,CHEMBL3425921
CHEMBL35021,CHEMBL34974
CHEMBL435541,CHEMBL35043
CHEMBL432079,CHEMBL35602
CHEMBL5187653,CHEMBL35602
CHEMBL3577170,CHEMBL3577167
CHEMBL3577171,CHEMBL3577167
CHEMBL3577174,CHEMBL3577167
CHEMBL3577178,CHEMBL3577177
CHEMBL3577179,CHEMBL3577177
CHEMBL3609650,CHEMBL3608444
CHEMBL375319,CHEMBL77207
CHEMBL3913053,CHEMBL3896023
CHEMBL3921422,CHEMBL3896023
CHEMBL3930376,CHEMBL3896023
CHEMBL3963971,CHEMBL3896023
CHEMBL3982376,CHEMBL3896023
CHEMBL3945529,CHEMBL3912463
CHEMBL3974905,CHEMBL3912463
CHEMBL3965276,CHEMBL3933915
CHEMBL3955047,CHEMBL3937517
CHEMBL442426,CHEMBL402719
CHEMBL74300,CHEMBL40554
CHEMBL4085327,CHEMBL4063720
CHEMBL4085750,CHEMBL4072781
CHEMBL4093492,CHEMBL4072781
CHEMBL413727,CHEMBL91416
CHEMBL91417,CHEMBL91416
CHEMBL43711,CHEMBL42370
CHEMBL4249022,CHEMBL4246480
CHEMBL467134,CHEMBL442642
CHEMBL4537546,CHEMBL4441603
CHEMBL4445462,CHEMBL4443919
CHEMBL4453109,CHEMBL4443919
CHEMBL4466126,CHEMBL4443919
CHEMBL4483317,CHEMBL4443919
CHEMBL4521831,CHEMBL4443919
CHEMBL4526832,CHEMBL4443919
CHEMBL4463619,CHEMBL461167
CHEMBL469433,CHEMBL461167
CHEMBL451044,CHEMBL98610
CHEMBL545673,CHEMBL451666
CHEMBL4588956,CHEMBL4534493
CHEMBL462807,CHEMBL461628
CHEMBL463134,CHEMBL463133
CHEMBL468880,CHEMBL6607
CHEMBL69700,CHEMBL6607
CHEMBL475341,CHEMBL79140
CHEMBL484261,CHEMBL96417
CHEMBL5187984,CHEMBL5170598
CHEMBL5200566,CHEMBL5170598
CHEMBL86201,CHEMBL51715
CHEMBL5201033,CHEMBL5194056
CHEMBL55110,CHEMBL54904
CHEMBL565593,CHEMBL565382
CHEMBL576622,CHEMBL565382
CHEMBL87046,CHEMBL86468
CHEMBL95959,CHEMBL95916
CHEMBL99810,CHEMBL95916
CHEMBL103228,CHEMBL93413
CHEMBL1812741,CHEMBL317904
CHEMBL317284,CHEMBL316528
CHEMBL100666,CHEMBL98472
CHEMBL102115,CHEMBL100672
CHEMBL327374,CHEMBL92158
CHEMBL91843,CHEMBL91837
CHEMBL266314,CHEMBL1007
CHEMBL1079742,CHEMBL553
CHEMBL1204168,CHEMBL29197
CHEMBL1204199,CHEMBL35820
CHEMBL3221560,CHEMBL2018752
CHEMBL3221544,CHEMBL2018769
CHEMBL3221548,CHEMBL2018777
CHEMBL3221543,CHEMBL2018879
CHEMBL208118,CHEMBL207687
CHEMBL3221268,CHEMBL3221267
CHEMBL329642,CHEMBL93464
CHEMBL3357655,CHEMBL3357654
CHEMBL3633761,CHEMBL3633760
CHEMBL3633765,CHEMBL3633764
CHEMBL3633769,CHEMBL3633768
CHEMBL3759186,CHEMBL3758697
CHEMBL3759261,CHEMBL3758839
CHEMBL3774993,CHEMBL3774858
CHEMBL3775654,CHEMBL3774890
CHEMBL3775539,CHEMBL3774994
CHEMBL3775817,CHEMBL3775409
CHEMBL3901210,CHEMBL597569
CHEMBL3959043,CHEMBL598798
CHEMBL3985245,CHEMBL596754
CHEMBL4069003,CHEMBL4060320
CHEMBL4090083,CHEMBL4060320
CHEMBL4065296,CHEMBL4063272
CHEMBL4092962,CHEMBL4063272
CHEMBL4075557,CHEMBL4071178
CHEMBL4076232,CHEMBL4071178
CHEMBL4091999,CHEMBL4071178
CHEMBL4102495,CHEMBL4073184
CHEMBL4091626,CHEMBL4079768
CHEMBL4096662,CHEMBL4090977
CHEMBL4577883,CHEMBL4443188
CHEMBL4591414,CHEMBL4468146
CHEMBL540068,CHEMBL7917
CHEMBL598163,CHEMBL596736
CHEMBL598377,CHEMBL596736
CHEMBL598610,CHEMBL596736
CHEMBL598611,CHEMBL598164
CHEMBL598797,CHEMBL598164
CHEMBL599398,CHEMBL598164
CHEMBL100818,CHEMBL99780
CHEMBL1907916,CHEMBL282499
CHEMBL101231,CHEMBL100890
CHEMBL388545,CHEMBL100941
CHEMBL100989,CHEMBL99622
CHEMBL305275,CHEMBL101008
CHEMBL102081,CHEMBL101030
CHEMBL420007,CHEMBL101054
CHEMBL308608,CHEMBL15944
CHEMBL327289,CHEMBL21536
CHEMBL327754,CHEMBL21536
CHEMBL75552,CHEMBL21536
CHEMBL76161,CHEMBL21536
CHEMBL308381,CHEMBL73338
CHEMBL309093,CHEMBL73338
CHEMBL1201066,CHEMBL637
CHEMBL252720,CHEMBL637
CHEMBL2092896,CHEMBL1946088
CHEMBL2092897,CHEMBL1946177
CHEMBL285898,CHEMBL24369
CHEMBL377199,CHEMBL209610
CHEMBL1200406,CHEMBL657
CHEMBL1200871,CHEMBL1382
CHEMBL1201192,CHEMBL1373
CHEMBL1672355,CHEMBL1373
CHEMBL272304,CHEMBL197589
CHEMBL272502,CHEMBL197589
CHEMBL403670,CHEMBL197589
CHEMBL403885,CHEMBL197589
CHEMBL347036,CHEMBL282567
CHEMBL513957,CHEMBL488313
CHEMBL101253,CHEMBL75232
CHEMBL536535,CHEMBL101299
CHEMBL575403,CHEMBL101299
CHEMBL5427399,CHEMBL5403924
CHEMBL5433552,CHEMBL5403924
CHEMBL5424724,CHEMBL5418300
CHEMBL5440597,CHEMBL5432341
CHEMBL1705,CHEMBL134
CHEMBL1644508,CHEMBL1644507
CHEMBL2112978,CHEMBL90943
CHEMBL419894,CHEMBL226636
CHEMBL419316,CHEMBL327875
CHEMBL328114,CHEMBL93489
CHEMBL420830,CHEMBL93489
CHEMBL93171,CHEMBL91157
CHEMBL2437262,CHEMBL2437261
CHEMBL2437273,CHEMBL2437272
CHEMBL2114223,CHEMBL275025
CHEMBL70996,CHEMBL18861
CHEMBL2041807,CHEMBL539632
CHEMBL590266,CHEMBL539632
CHEMBL2435382,CHEMBL2435381
CHEMBL2435385,CHEMBL2435384
CHEMBL324162,CHEMBL304858
CHEMBL75435,CHEMBL571
CHEMBL171480,CHEMBL103059
CHEMBL1160189,CHEMBL1160181
