a,b,rule,fp
CHEMBL431250,CHEMBL102150,FP,1.0
CHEMBL102150,CHEMBL431250,FP,1.0
CHEMBL316845,CHEMBL102197,FP,1.0
CHEMBL102197,CHEMBL316845,FP,1.0
CHEMBL102216,CHEMBL2370416,FP,1.0
CHEMBL2370416,CHEMBL102216,FP,1.0
CHEMBL294888,CHEMBL102293,FP,1.0
CHEMBL294888,CHEMBL439047,FP,1.0
CHEMBL294888,CHEMBL400694,FP,1.0
CHEMBL294888,CHEMBL2111612,FP,1.0
CHEMBL102293,CHEMBL294888,FP,1.0
CHEMBL102293,CHEMBL439047,FP,1.0
CHEMBL102293,CHEMBL400694,FP,1.0
CHEMBL102293,CHEMBL2111612,FP,1.0
CHEMBL439047,CHEMBL294888,FP,1.0
CHEMBL439047,CHEMBL102293,FP,1.0
CHEMBL439047,CHEMBL400694,FP,1.0
CHEMBL439047,CHEMBL2111612,FP,1.0
CHEMBL400694,CHEMBL294888,FP,1.0
CHEMBL400694,CHEMBL102293,FP,1.0
CHEMBL400694,CHEMBL439047,FP,1.0
CHEMBL400694,CHEMBL2111612,FP,1.0
CHEMBL2111612,CHEMBL294888,FP,1.0
CHEMBL2111612,CHEMBL102293,FP,1.0
CHEMBL2111612,CHEMBL439047,FP,1.0
CHEMBL2111612,CHEMBL400694,FP,1.0
CHEMBL102341,CHEMBL554551,FP,1.0
CHEMBL554551,CHEMBL102341,FP,1.0
CHEMBL10247,CHEMBL298827,FP,1.0
CHEMBL10247,CHEMBL61512,FP,1.0
CHEMBL298827,CHEMBL10247,FP,1.0
CHEMBL298827,CHEMBL61512,FP,1.0
CHEMBL61512,CHEMBL10247,FP,1.0
CHEMBL61512,CHEMBL298827,FP,1.0
CHEMBL102497,CHEMBL321092,FP,1.0
CHEMBL102497,CHEMBL178895,FP,1.0
CHEMBL102497,CHEMBL22650,FP,1.0
CHEMBL102497,CHEMBL115730,FP,1.0
CHEMBL321092,CHEMBL102497,FP,1.0
CHEMBL321092,CHEMBL178895,FP,1.0
CHEMBL321092,CHEMBL22650,FP,1.0
CHEMBL321092,CHEMBL115730,FP,1.0
CHEMBL178895,CHEMBL102497,FP,1.0
CHEMBL178895,CHEMBL321092,FP,1.0
CHEMBL178895,CHEMBL22650,FP,1.0
CHEMBL178895,CHEMBL115730,FP,1.0
CHEMBL22650,CHEMBL102497,FP,1.0
