bucket_id,member
CHEMBL3397748,CHEMBL3397747
CHEMBL3397748,CHEMBL3397746
CHEMBL3397748,CHEMBL3397748
CHEMBL111028,CHEMBL111028
CHEMBL111028,CHEMBL109327
CHEMBL112708,CHEMBL112708
CHEMBL112708,CHEMBL109554
CHEMBL124283,CHEMBL124283
CHEMBL124283,CHEMBL47029
CHEMBL127378,CHEMBL127378
CHEMBL127378,CHEMBL55734
CHEMBL334369,CHEMBL334369
CHEMBL334369,CHEMBL133719
CHEMBL339020,CHEMBL339020
CHEMBL339020,CHEMBL13786
CHEMBL15595,CHEMBL15595
CHEMBL15595,CHEMBL8234
CHEMBL328443,CHEMBL328443
CHEMBL328443,CHEMBL214929
CHEMBL268984,CHEMBL268984
CHEMBL268984,CHEMBL217379
CHEMBL2372197,CHEMBL2372197
CHEMBL2372197,CHEMBL2311114
CHEMBL408557,CHEMBL274875
CHEMBL408557,CHEMBL263031
CHEMBL408557,CHEMBL408557
CHEMBL293465,CHEMBL293465
CHEMBL293465,CHEMBL63188
CHEMBL62688,CHEMBL62688
CHEMBL62688,CHEMBL60936
CHEMBL439047,CHEMBL2111612
CHEMBL439047,CHEMBL102293
CHEMBL439047,CHEMBL294888
CHEMBL439047,CHEMBL400694
CHEMBL439047,CHEMBL439047
CHEMBL100563,CHEMBL100563
CHEMBL100563,CHEMBL29483
CHEMBL100722,CHEMBL100722
CHEMBL100722,CHEMBL100619
CHEMBL2047024,CHEMBL2047024
CHEMBL2047024,CHEMBL2047020
CHEMBL2326729,CHEMBL2326729
CHEMBL2326729,CHEMBL2326728
CHEMBL4514330,CHEMBL4514330
CHEMBL4514330,CHEMBL4448385
CHEMBL4742241,CHEMBL4742241
CHEMBL4742241,CHEMBL4452620
CHEMBL5416701,CHEMBL5413121
CHEMBL5416701,CHEMBL5396642
CHEMBL5416701,CHEMBL5416701
CHEMBL61512,CHEMBL298827
CHEMBL61512,CHEMBL10247
CHEMBL61512,CHEMBL61512
CHEMBL105142,CHEMBL105142
CHEMBL105142,CHEMBL45357
CHEMBL1084929,CHEMBL1084929
CHEMBL1084929,CHEMBL382739
CHEMBL3098603,CHEMBL3098603
CHEMBL3098603,CHEMBL1089339
CHEMBL1923808,CHEMBL1923808
CHEMBL1923808,CHEMBL1089494
CHEMBL1090035,CHEMBL1090035
CHEMBL1090035,CHEMBL442057
CHEMBL3355099,CHEMBL3355099
CHEMBL3355099,CHEMBL1090914
CHEMBL3098605,CHEMBL3098605
CHEMBL3098605,CHEMBL1092762
CHEMBL1095671,CHEMBL1095671
CHEMBL1095671,CHEMBL549472
CHEMBL326433,CHEMBL325676
CHEMBL326433,CHEMBL109654
CHEMBL326433,CHEMBL326433
CHEMBL1255778,CHEMBL1255778
CHEMBL1255778,CHEMBL1096979
CHEMBL112655,CHEMBL112655
CHEMBL112655,CHEMBL91283
CHEMBL452083,CHEMBL305222
CHEMBL452083,CHEMBL11306
CHEMBL452083,CHEMBL452083
CHEMBL115714,CHEMBL114976
CHEMBL115714,CHEMBL113344
CHEMBL115714,CHEMBL115554
CHEMBL115714,CHEMBL115713
CHEMBL115714,CHEMBL115714
CHEMBL422074,CHEMBL115344
CHEMBL422074,CHEMBL114031
CHEMBL422074,CHEMBL116953
CHEMBL422074,CHEMBL227371
CHEMBL422074,CHEMBL332050
CHEMBL422074,CHEMBL334038
CHEMBL422074,CHEMBL422074
CHEMBL121916,CHEMBL121916
CHEMBL121916,CHEMBL114272
CHEMBL366208,CHEMBL190006
CHEMBL366208,CHEMBL114606
CHEMBL366208,CHEMBL366208
CHEMBL1159707,CHEMBL1159707
CHEMBL1159707,CHEMBL1159706
CHEMBL1711,CHEMBL1160723
CHEMBL1711,CHEMBL434
CHEMBL1711,CHEMBL1256360
CHEMBL1711,CHEMBL1257092
CHEMBL1711,CHEMBL1711
CHEMBL441826,CHEMBL117910
CHEMBL441826,CHEMBL117723
CHEMBL441826,CHEMBL118783
CHEMBL441826,CHEMBL118815
CHEMBL441826,CHEMBL325247
CHEMBL441826,CHEMBL441826
CHEMBL498715,CHEMBL2088769
CHEMBL498715,CHEMBL118111
CHEMBL498715,CHEMBL450591
CHEMBL498715,CHEMBL471797
CHEMBL498715,CHEMBL498715
CHEMBL119256,CHEMBL119256
CHEMBL119256,CHEMBL118860
CHEMBL1200494,CHEMBL1200494
CHEMBL1200494,CHEMBL862
CHEMBL1200606,CHEMBL1200606
CHEMBL1200606,CHEMBL558
CHEMBL1200904,CHEMBL1200904
CHEMBL1200904,CHEMBL972
CHEMBL1927030,CHEMBL1927030
CHEMBL1927030,CHEMBL1201201
CHEMBL1204264,CHEMBL1204264
CHEMBL1204264,CHEMBL305198
CHEMBL1927024,CHEMBL1927024
CHEMBL1927024,CHEMBL1230845
CHEMBL24938,CHEMBL1255589
CHEMBL24938,CHEMBL9485
CHEMBL24938,CHEMBL24938
CHEMBL1256958,CHEMBL1255663
CHEMBL1256958,CHEMBL679
CHEMBL1256958,CHEMBL1256958
CHEMBL3251356,CHEMBL3251356
CHEMBL3251356,CHEMBL129190
CHEMBL134519,CHEMBL134519
CHEMBL134519,CHEMBL6616
CHEMBL136560,CHEMBL136560
CHEMBL136560,CHEMBL61006
CHEMBL421929,CHEMBL421929
CHEMBL421929,CHEMBL137706
CHEMBL1378659,CHEMBL1378659
CHEMBL1378659,CHEMBL281232
CHEMBL143047,CHEMBL140000
CHEMBL143047,CHEMBL46942
CHEMBL143047,CHEMBL142305
CHEMBL143047,CHEMBL143047
CHEMBL5087452,CHEMBL1437
CHEMBL5087452,CHEMBL432
CHEMBL5087452,CHEMBL5087452
CHEMBL143849,CHEMBL143849
CHEMBL143849,CHEMBL57107
CHEMBL356837,CHEMBL356837
CHEMBL356837,CHEMBL151975
CHEMBL1520837,CHEMBL1520837
CHEMBL1520837,CHEMBL404849
CHEMBL195437,CHEMBL195437
CHEMBL195437,CHEMBL153062
CHEMBL1557,CHEMBL1557
CHEMBL1557,CHEMBL59
CHEMBL164268,CHEMBL164268
CHEMBL164268,CHEMBL159887
CHEMBL85320,CHEMBL2079630
CHEMBL85320,CHEMBL16046
CHEMBL85320,CHEMBL85320
CHEMBL277346,CHEMBL273804
CHEMBL277346,CHEMBL16121
CHEMBL277346,CHEMBL277346
CHEMBL559358,CHEMBL559358
CHEMBL559358,CHEMBL1639
CHEMBL164868,CHEMBL164868
CHEMBL164868,CHEMBL99
CHEMBL1672669,CHEMBL1672669
CHEMBL1672669,CHEMBL75124
CHEMBL521,CHEMBL427526
CHEMBL521,CHEMBL175
CHEMBL521,CHEMBL521
CHEMBL1762656,CHEMBL1762656
CHEMBL1762656,CHEMBL441343
CHEMBL1762657,CHEMBL1762657
CHEMBL1762657,CHEMBL21932
CHEMBL1762658,CHEMBL1762658
CHEMBL1762658,CHEMBL542
CHEMBL1778439,CHEMBL1778439
CHEMBL1778439,CHEMBL1778438
CHEMBL2092878,CHEMBL1788203
CHEMBL2092878,CHEMBL263501
CHEMBL2092878,CHEMBL2092878
CHEMBL440018,CHEMBL440018
CHEMBL440018,CHEMBL180911
CHEMBL1812864,CHEMBL1812864
CHEMBL1812864,CHEMBL1812863
CHEMBL362695,CHEMBL362695
CHEMBL362695,CHEMBL182095
CHEMBL1822043,CHEMBL1822043
CHEMBL1822043,CHEMBL1822042
CHEMBL1823117,CHEMBL1823117
CHEMBL1823117,CHEMBL497318
CHEMBL454574,CHEMBL454574
CHEMBL454574,CHEMBL182319
CHEMBL467389,CHEMBL467389
CHEMBL467389,CHEMBL19332
CHEMBL612,CHEMBL19393
CHEMBL612,CHEMBL405
CHEMBL612,CHEMBL612
CHEMBL372979,CHEMBL372979
CHEMBL372979,CHEMBL204277
CHEMBL2088779,CHEMBL2088779
CHEMBL2088779,CHEMBL2086806
CHEMBL2086810,CHEMBL2086809
CHEMBL2086810,CHEMBL2086808
CHEMBL2086810,CHEMBL2086810
CHEMBL2096852,CHEMBL2096852
CHEMBL2096852,CHEMBL2096738
CHEMBL278020,CHEMBL211471
CHEMBL278020,CHEMBL54126
CHEMBL278020,CHEMBL278020
CHEMBL5171825,CHEMBL5171825
CHEMBL5171825,CHEMBL2141296
CHEMBL215645,CHEMBL215645
CHEMBL215645,CHEMBL636
CHEMBL2158072,CHEMBL2158072
CHEMBL2158072,CHEMBL2158071
